игра,аргумент,мин.требования,онлайн,пингозависимость,Аннотация к оценкам
pubg,"цена игры, достаточно большие системные требования, хоть хайп на игру прошел и онлайн постепенно снижается, мне все равно кажется, что многие просто не могут себе позволить в нее поиграть на своем пк, а по подписке на облачный сервис хотя бы раз зайдут в игру",4,9,10,"мин.требования - чем больше требования, тем ниже балл"
gta V,"Опять же игра платная, цена для ру сегмента высока, многие игру прошли на пиратках, но официальные онлайн сервера пощупать не могут, хотя все знают, что там классно, что можно подтвердить просто посмотря на отзывы в стиме, хоть и игра и работает на достаточно слабых пк, но в итоге юзер получает мыло мыльное, а те, кто хочет хорошую графику, но не хочет платить за пк и игру - могут зайти в облако ",6,9,7,"онлайн - чем больше онлайн, тем балл больше, для синглплеер игр всегда 0"
ARK ,"Как мне кажется, игра в последнее время только растет в онлайне, появляется очень много публикаций и видео про нее, но с системками там проблема, хоть в стиме и указано достаточно слабое железо, на деле сетап 1650+i310100+16GB ОЗУ тянет игру на достаточно слабой графике, я бы в нее точно поиграл в облаке))",3,7,7,"пингозависимость - то как пинг влияет на игровой процесс, например, для шутеров очень важен пинг,(20-50мс) так как это зависит на результат игры, а в рпг пинг больше влияет на комфорт и можно спокойно играть с пингом 100-120мс"
cyberpunk,2к рублей за 50-100 часов геймплея - опять же дорого для ру сегмента + просто ужасная графа на средних пк,2,0,0,
The Binding of Isaac,"Со всеми дополнениями по цене выходит как киберпанк, можно спокойно играть в пиратки, но если реализовать сохранение прогресса для каждого отдельного юзера , можно смело добавлять. неувядающая классика",10,0,0,
Red Dead Redemption 2,ситуация 1 в 1 как с киберпанком ,3,0,0,
Sid Meier's Civilization VI,зайти на вечер поиграть с друзьями без покупки самой игры - почему бы и нет ,5,5,5,
Dota,"самая популярная моба в стиме, может быть не совсем целесообразно добавлять игру в облако из-за того, что она работает на каждои утюге, но из-за своей популярности все-таки может привлечь каких-нибудь игроков",9,10,9,
cs:go,"Ситуация аналогичная с дотой, только здесь еще сильно играет фактор задержки, которая будет только нарастать при использовании облака, но опять же популярность игры может ее продвинуть и на облаке",9,10,10,
Rust,"Супертребовательная игра , из-за чего многие не могут играть в нее, онлайн явно не сходится с сколичеством просмотров роликов по этой игре на ютубе, что скорее всего как бы намекает на то, что желающих поиграть много, но возможности не позволяют",2,7,7,
